,Auction Name,Days,Date,Winning Bid,Starting Bid,Currency,Hierarchy,Category 1,Category 2
89,"Bauhaus Stil Klassik Freischwinger Stuhl Mart Stam Leder/Chrom, Farbe Cognac",7,25 Dec 2020 at 11:12:57am GMT,30.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
90,RRP €295 QEEBOO MEXICO Stool & Side Table Skull by Studio Job Made in Italy,10,27 Dec 2020 at 7:23:18pm GMT,166,29.99,£,"Home, Furniture & DIY>Furniture>Benches, Stools & Bar StoolsHome, Furniture & DIY>Furniture>Tables",Furniture,Tables
91,"Arne Jacobsen Stuhl ORIGINAL Fritz Hansen, braun, 80er Jahre",10,18 Jan 2021 at 3:17:18pm GMT,146,19.99,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
92,Badmöbel Badschrank Hochglanz Waschbecken 90 cm Badezimmer weiß Waschtisch,7,10 Feb 2021 at 8:49:00pm GMT,167,1,EUR,"Home, Furniture & DIY>Furniture>Bathroom Furniture Sets",Furniture,Bathroom Furniture Sets
93,B-WARE 2x Design Lehnstuhl Relaxsessel Esszimmer Stuhl Sessel Polstersessel,1,18 Feb 2021 at 7:03:08pm GMT,67.7,1,EUR,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
94,B-WARE Beistelltisch 2er-Set Quadratisch Sofatisch Nachttisch Metall Kratzfest,1,21 Feb 2021 at 1:37:30pm GMT,23.5,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
95,Mid Century Retro Orange Bar Trolley with Castors and Plastic Trays ,7,6 Dec 2020 at 1:31:15pm GMT,58,9.99,£,,,
96,Retro Rectangle Industrial Style Wall Shelf Unit Metal Wood Storage Vintage,7,18 Jan 2021 at 10:02:08am GMT,16,0.01,£,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
97,"IKEA GUNNERN, Spiegelschrank Medizinschrank Spiegel mit Tür, in Weiß Metall",10,22 Jan 2021 at 8:22:47pm GMT,25.5,1,EUR,"Home, Furniture & DIY>Furniture>Cabinets & Cupboards",Furniture,Cabinets & Cupboards
98,Chess table musical and inlaid,10,26 Jan 2021 at 12:19:07pm GMT,132,49.99,£,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
99,B-WARE 2x Design Stühle Esszimmerstuhl Beige Stuhl Polsterstuhl Textil Stoff,1,28 Jan 2021 at 9:30:25pm GMT,36.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
100,Ikea Ektorp Cover for Jennylund Armchair in Black/grey/white check 601.197.89,7,31 Jan 2021 at 6:08:55pm GMT,48,9.99,£,"Home, Furniture & DIY>Furniture>Slip Covers",Furniture,Slip Covers
101,Paolo Rizzatto Alias Young Lady Stuhl Drehstuhl Design Wiener Geflecht,10,2 Feb 2021 at 7:06:28pm GMT,111.01,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
102,B-WARE 2x Stühle Dunkelbraun Lehnstuhl Esszimmer-Stuhl Polsterstuhl Lounge,1,15 Feb 2021 at 8:10:36pm GMT,38.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
103,B-WARE 2x Design Lehnstuhl Relaxsessel Esszimmer Stuhl Sessel Polstersessel,1,16 Feb 2021 at 8:27:31pm GMT,80,1,EUR,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
104,B-WARE Couchtisch Beistelltisch Wohnzimmertisch Sofatisch Ablage Rund Holz/Grau,1,17 Feb 2021 at 10:48:27pm GMT,41.15,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
105,Ikea Ektorp Cover for 2 seat sofa in Blekinge White 200.476.00,7,21 Feb 2021 at 6:00:54pm GMT,97,9.99,£,"Home, Furniture & DIY>Furniture>Slip Covers",Furniture,Slip Covers
106,Antikes Mobiliar Jugendstil Stuhl Sessel nouveau art chair chaise old 100cm ,10,21 Feb 2021 at 9:30:52pm GMT,49.5,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
107,"P223 HEINE Kommode in Rattanoptik ""creme/natur"" ca. 88 x 88 x 40 cm UVP: 349,99€",3,22 Feb 2021 at 9:04:16am GMT,110,5,EUR,"Home, Furniture & DIY>Furniture>Chests of Drawers",Furniture,Chests of Drawers
108,Mid Century Style Pink Salmon Velvet Footstool Storage Trunk 41cm Tall,7,26 Feb 2021 at 8:10:33pm GMT,14.5,0.01,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
109,Charles Bentley Pair of Industrial Wood Top Dining Chairs Light Grey,3,1 Dec 2020 at 2:42:57pm GMT,21,0.99,£,,,
110,Vitra Hang it all Garderobe gebraucht Wandgarderobe ,7,20 Dec 2020 at 7:02:01pm GMT,166.99,1,EUR,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
111,NEW John Lewis Max Indoor & Outdoor Bean Bag 90cm x 80cm x 90cm - Yellow,5,20 Dec 2020 at 7:14:50pm GMT,32,0.99,£,"Home, Furniture & DIY>Furniture>Bean Bags & Inflatables",Furniture,Bean Bags & Inflatables
112,Ligne Roset Togo 3 Piece Sofa,3,23 Dec 2020 at 5:48:25pm GMT,871,50,£,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
113,3x Ikea Boalt Wooden CD Storage Racks  59x15x13cm  E41,7,28 Dec 2020 at 8:52:39pm GMT,77,5,£,"Home, Furniture & DIY>Furniture>CD & Video Racks",Furniture,CD & Video Racks
114,Badmöbel Badezimmermöbel Badezimmer Waschbecken Waschtisch Schrank Spiegel Set,10,24 Jan 2021 at 6:38:46pm GMT,253,1,EUR,"Home, Furniture & DIY>Furniture>Bathroom Furniture Sets",Furniture,Bathroom Furniture Sets
115,Jay-Be Value Folding Guest Bed - Single,7,26 Jan 2021 at 9:19:51am GMT,35,0.99,£,"Home, Furniture & DIY>Furniture>Beds & Mattresses>Beds, Frames & Bases",Beds & Mattresses,"Beds, Frames & Bases"
116,Double Bed With Storage Drawer And Mattress,7,27 Jan 2021 at 12:18:42pm GMT,70,1,£,"Home, Furniture & DIY>Furniture>Beds & Mattresses>Beds, Frames & Bases",Beds & Mattresses,"Beds, Frames & Bases"
117,IKEA Linnmon Verbindungsstücke für Kallax 2 Stück ,10,29 Jan 2021 at 7:41:18pm GMT,43.5,1.99,EUR,"Home, Furniture & DIY>Furniture>Bookcases, Shelving & Storage",Furniture,"Bookcases, Shelving & Storage"
118,B-WARE Sessel Loungesessel Clubsessel Cocktailsessel Wildlederimitat Taupe,1,31 Jan 2021 at 2:40:49pm GMT,43.5,1,EUR,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
